131,Piraci z Karaibów: Na nieznanych wodach,Pirates of the Caribbean: On Stranger Tides,http://www.filmweb.pl/film/Piraci+z+Karaib%C3%B3w%3A+Na+nieznanych+wodach-2011-491118,2011,74,188564,50539,0000022101,295560,67,Pirates of the Caribbean: On Stranger Tides,2011
132,Iluzjonista,The Illusionist,http://www.filmweb.pl/Iluzjonista,2006,79,188713,67477,0000002311,248585,76,The Illusionist,2006
133,Mroczny Rycerz powstaje,The Dark Knight Rises,http://www.filmweb.pl/film/Mroczny+Rycerz+powstaje-2012-506756,2012,78,188552,65280,0000000123,886829,85,The Dark Knight Rises,2012
134,Dziewczyna z tatuażem,The Girl with the Dragon Tattoo,http://www.filmweb.pl/film/Dziewczyna+z+tatua%C5%BCem-2011-565637,2011,78,188170,66629,0000001321,278229,79,The Girl with the Dragon Tattoo,2011
135,WALL·E,,http://www.filmweb.pl/film/WALL%C2%B7E-2008-399328,2008,75,187719,77732,0000001222,548414,85,WALL·E,2008
136,Gwiezdne wojny: Część IV - Nowa nadzieja,Star Wars,http://www.filmweb.pl/Gwiezdne.Wojny,1977,80,187482,60086,0000000123,703009,87,Star Wars,1977
137,Chłopcy z ferajny,Goodfellas,http://www.filmweb.pl/Chlopcy.Z.Ferajny,1990,84,186246,25500,0000000233,583291,87,Goodfellas,1990
138,Chłopiec w pasiastej piżamie,The Boy in the Striped Pyjamas,http://www.filmweb.pl/film/Ch%C5%82opiec+w+pasiastej+pi%C5%BCamie-2008-420136,2008,82,184682,64306,0000002311,102603,78,The Boy in the Striped Pyjamas,2008
139,Armageddon,,http://www.filmweb.pl/Armageddon,1998,75,186787,5245,0000012100,277767,66,Armageddon,1998
140,Armageddon,,http://www.filmweb.pl/Armageddon,1998,75,186787,5245,0000012100,277767,66,Armageddon,1998
141,Apollo 13,,http://www.filmweb.pl/film/Apollo+13-1995-1053,1995,74,186308,5020,0000002311,178984,76,Apollo 13,1995
142,Jumanji,,http://www.filmweb.pl/film/Jumanji-1995-665,1995,68,184448,33014,0000023100,161703,68,Jumanji,1995
143,Symetria,,http://www.filmweb.pl/Symetria,2003,78,185268,61742,0000001311,1664,77,Symetria,2003
144,Szybcy i wściekli,The Fast and the Furious,http://www.filmweb.pl/film/Szybcy+i+w%C5%9Bciekli-2001-30588,2001,74,184802,66088,0000022100,213086,66,The Fast and the Furious,2001
146,Labirynt fauna,El Laberinto del fauno,http://www.filmweb.pl/Labirynt.Fauna,2006,74,183467,19954,0000001222,380344,83,El laberinto del fauno,2006
147,Casino Royale,,http://www.filmweb.pl/Casino.Royale,2006,74,183363,11366,0000001321,377573,80,Casino Royale,2006
148,Harry Potter i Zakon Feniksa,Harry Potter and the Order of the Phoenix,http://www.filmweb.pl/Harry.Potter.I.Zakon.Feniksa,2007,74,182258,26918,0000012211,290061,74,Harry Potter and the Order of the Phoenix,2007
149,Skarb narodów,National Treasure,http://www.filmweb.pl/Skarb.Narodow,2004,71,181002,45636,0000013100,220581,69,National Treasure,2004
150,Hancock,,http://www.filmweb.pl/Hancock,2008,70,180227,26592,0000122100,269499,65,Hancock,2008
151,Poradnik pozytywnego myślenia,Silver Linings Playbook,http://www.filmweb.pl/film/Poradnik+pozytywnego+my%C5%9Blenia-2012-506803,2012,72,179455,58029,0000001321,427365,79,Silver Linings Playbook,2012
152,Harry Potter i Komnata Tajemnic,Harry Potter and the Chamber of Secrets,http://www.filmweb.pl/Harry.Potter.I.Komnata.Tajemnic,2002,73,179724,26912,0000012211,316440,73,Harry Potter and the Chamber of Secrets,2002
153,Sami swoi,,http://www.filmweb.pl/Sami.Swoi,1967,79,179537,55423,0000001213,1261,81,Sami swoi,1967
154,Avengers,The Avengers,http://www.filmweb.pl/film/Avengers-2012-371515,2012,75,177197,63615,0000001222,751672,82,The Avengers,2012
155,Indiana Jones i ostatnia krucjata,Indiana Jones and the Last Crusade,http://www.filmweb.pl/film/Indiana+Jones+i+ostatnia+krucjata-1989-1213,1989,77,179431,30861,0000001322,409178,83,Indiana Jones and the Last Crusade,1989
156,Joe Black,Meet Joe Black,http://www.filmweb.pl/Joe.Black,1998,77,179023,42411,0000012211,145911,71,Meet Joe Black,1998
157,"Złap mnie, jeśli potrafisz",Catch Me If You Can,http://www.filmweb.pl/Zlap.Mnie.Jesli.Potrafisz,2002,78,178197,11451,0000001321,390836,80,Catch Me If You Can,2002
158,Czerwony smok,Red Dragon,http://www.filmweb.pl/Czerwony.Smok,2002,75,178159,53167,0000013200,180971,72,Red Dragon,2002
159,Harry Potter i Insygnia Śmierci: Część I,Harry Potter and the Deathly Hallows: Part 1,http://www.filmweb.pl/film/Harry+Potter+i+Insygnia+%C5%9Amierci%3A+Cz%C4%99%C5%9B%C4%87+I-2010-396969,2010,75,176211,26913,0000002212,264619,77,Harry Potter and the Deathly Hallows: Part 1,2010
160,Harry Potter i Insygnia Śmierci: Część I,Harry Potter and the Deathly Hallows: Part 1,http://www.filmweb.pl/film/Harry+Potter+i+Insygnia+%C5%9Amierci%3A+Cz%C4%99%C5%9B%C4%87+I-2010-396969,2010,75,176211,26913,0000002212,264619,77,Harry Potter and the Deathly Hallows: Part 1,2010
161,Skyfall,,http://www.filmweb.pl/film/Skyfall-2012-451244,2012,74,173013,58449,0000002311,422179,78,Skyfall,2012
162,Raport mniejszości,Minority Report,http://www.filmweb.pl/Raport.Mniejszosci,2002,74,175963,43333,0000002310,340389,77,Minority Report,2002
163,Jeździec bez głowy,Sleepy Hollow,http://www.filmweb.pl/film/Je%C5%BAdziec+bez+g%C5%82owy-1999-844,1999,75,175604,58579,0000012311,229343,74,Sleepy Hollow,1999
