filmweb_id,title,title_original,filmweb_url,year,rating,vote_count,imdb_id,vote_distribution,vote_count,rating,title,year
73,Harry Potter i Kamień Filozoficzny,Harry Potter and the Sorcerer's Stone,http://www.filmweb.pl/Harry.Potter.I.Kamien.Filozoficzny,2001,74,247633
74,Pan życia i śmierci,Lord of War,http://www.filmweb.pl/Pan.Zycia.I.Smierci,2005,76,248015
75,Piąty element,The Fifth Element,http://www.filmweb.pl/Piaty.Element,1997,74,247545
76,Hobbit: Niezwykła podróż,The Hobbit: An Unexpected Journey,http://www.filmweb.pl/film/Hobbit%3A+Niezwyk%C5%82a+podr%C3%B3%C5%BC-2012-343217,2012,78,244444
77,Lot nad kukułczym gniazdem,One Flew Over the Cuckoo's Nest,http://www.filmweb.pl/Lot.Nad.Kukulczym.Gniazdem,1975,86,242969
78,Batman - Początek,Batman Begins,http://www.filmweb.pl/Batman.Poczatek,2005,76,245043
79,Lista Schindlera,Schindler's List,http://www.filmweb.pl/Lista.Schindlera,1993,84,242348
80,Harry Potter i Czara Ognia,Harry Potter and the Goblet of Fire,http://www.filmweb.pl/Harry.Potter.I.Czara.Ognia,2005,75,240017
81,Charlie i fabryka czekolady,Charlie and the Chocolate Factory,http://www.filmweb.pl/Charlie.I.Fabryka.Czekolady,2005,71,239388
82,Harry Potter i więzień Azkabanu,Harry Potter and the Prisoner of Azkaban,http://www.filmweb.pl/Harry.Potter.I.Wiezien.Azkabanu,2004,76,238592
83,Testosteron,,http://www.filmweb.pl/Testosteron,2007,59,238838
84,Pachnidło: Historia mordercy,Perfume: The Story of a Murderer,http://www.filmweb.pl/Pachnidlo,2006,74,238555
85,Prestiż,The Prestige,http://www.filmweb.pl/Prestiz,2006,81,236332
86,Głupi i głupszy,Dumb & Dumber,http://www.filmweb.pl/Glupi.Glupszy,1994,60,235088
87,Wywiad z wampirem,Interview with the Vampire: The Vampire Chronicles,http://www.filmweb.pl/Wywiad.Z.Wampirem,1994,78,234523
88,Helikopter w ogniu,Black Hawk Down,http://www.filmweb.pl/Helikopter,2001,78,232189
89,Zmierzch,Twilight,http://www.filmweb.pl/Zmierzch,2008,56,231580
90,Transformers,,http://www.filmweb.pl/Transformers,2007,73,229501
91,Filadelfia,Philadelphia,http://www.filmweb.pl/Filadelfia,1993,79,231007
92,Czarny łabędź,Black Swan,http://www.filmweb.pl/film/Czarny+%C5%82ab%C4%99d%C5%BA-2010-526137,2010,77,229109
93,Maska,The Mask,http://www.filmweb.pl/film/Maska-1994-7585,1994,68,227902
