Kill Bill,Kill Bill: Vol. 1,http://www.filmweb.pl/Kill.Bill,2003,73,272895
Madagaskar,Madagascar,http://www.filmweb.pl/Madagaskar,2005,75,269176
Hannibal,,http://www.filmweb.pl/Hannibal,2001,76,262778
Diabeł ubiera się u Prady,The Devil Wears Prada,http://www.filmweb.pl/Diabel.Ubiera.Sie.U.Prady,2006,69,263389
K-PAX,,http://www.filmweb.pl/K-pax,2001,76,261161
Chłopaki nie płaczą,,http://www.filmweb.pl/Chlopaki.Nie.Placza,2000,78,260360
Django,Django Unchained,http://www.filmweb.pl/film/Django-2012-620541,2012,83,255468
Lejdis,,http://www.filmweb.pl/Lejdis,2008,59,258498
Powrót do przyszłości,Back to the Future,http://www.filmweb.pl/film/Powr%C3%B3t+do+przysz%C5%82o%C5%9Bci-1985-8823,1985,73,254075
Piraci z Karaibów: Na krańcu świata,Pirates of the Caribbean: At World's End,http://www.filmweb.pl/Na.Krancu.Swiata.Piraci.Z.Karaibow,2007,78,254726
Park Jurajski,Jurassic Park,http://www.filmweb.pl/film/Park+Jurajski-1993-1212,1993,69,253686
Spider-Man,,http://www.filmweb.pl/Spiderman,2002,67,252613
Zapach kobiety,Scent of a Woman,http://www.filmweb.pl/Zapach.Kobiety,1992,81,251215
Miś,,http://www.filmweb.pl/Mis,1980,78,250778
Troja,Troy,http://www.filmweb.pl/Troja,2004,73,245928
Alicja w Krainie Czarów,Alice in Wonderland,http://www.filmweb.pl/Alicja.W.Krainie.Czarow,2010,71,245172
Ace Ventura: Psi detektyw,Ace Ventura: Pet Detective,http://www.filmweb.pl/film/Ace+Ventura%3A+Psi+detektyw-1994-3690,1994,62,247796
Harry Potter i Kamień Filozoficzny,Harry Potter and the Sorcerer's Stone,http://www.filmweb.pl/Harry.Potter.I.Kamien.Filozoficzny,2001,74,247633
Pan życia i śmierci,Lord of War,http://www.filmweb.pl/Pan.Zycia.I.Smierci,2005,76,248015
Piąty element,The Fifth Element,http://www.filmweb.pl/Piaty.Element,1997,74,247545
Hobbit: Niezwykła podróż,The Hobbit: An Unexpected Journey,http://www.filmweb.pl/film/Hobbit%3A+Niezwyk%C5%82a+podr%C3%B3%C5%BC-2012-343217,2012,78,244444
Lot nad kukułczym gniazdem,One Flew Over the Cuckoo's Nest,http://www.filmweb.pl/Lot.Nad.Kukulczym.Gniazdem,1975,86,242969
Batman - Początek,Batman Begins,http://www.filmweb.pl/Batman.Poczatek,2005,76,245043
Lista Schindlera,Schindler's List,http://www.filmweb.pl/Lista.Schindlera,1993,84,242348
Harry Potter i Czara Ognia,Harry Potter and the Goblet of Fire,http://www.filmweb.pl/Harry.Potter.I.Czara.Ognia,2005,75,240017
Charlie i fabryka czekolady,Charlie and the Chocolate Factory,http://www.filmweb.pl/Charlie.I.Fabryka.Czekolady,2005,71,239388
Harry Potter i więzień Azkabanu,Harry Potter and the Prisoner of Azkaban,http://www.filmweb.pl/Harry.Potter.I.Wiezien.Azkabanu,2004,76,238592
Testosteron,,http://www.filmweb.pl/Testosteron,2007,59,238838
Pachnidło: Historia mordercy,Perfume: The Story of a Murderer,http://www.filmweb.pl/Pachnidlo,2006,74,238555
Prestiż,The Prestige,http://www.filmweb.pl/Prestiz,2006,81,236332
Głupi i głupszy,Dumb & Dumber,http://www.filmweb.pl/Glupi.Glupszy,1994,60,235088
Wywiad z wampirem,Interview with the Vampire: The Vampire Chronicles,http://www.filmweb.pl/Wywiad.Z.Wampirem,1994,78,234523
Helikopter w ogniu,Black Hawk Down,http://www.filmweb.pl/Helikopter,2001,78,232189
Zmierzch,Twilight,http://www.filmweb.pl/Zmierzch,2008,56,231580
Transformers,,http://www.filmweb.pl/Transformers,2007,73,229501
Filadelfia,Philadelphia,http://www.filmweb.pl/Filadelfia,1993,79,231007
Czarny łabędź,Black Swan,http://www.filmweb.pl/film/Czarny+%C5%82ab%C4%99d%C5%BA-2010-526137,2010,77,229109
Maska,The Mask,http://www.filmweb.pl/film/Maska-1994-7585,1994,68,227902
Stowarzyszenie Umarłych Poetów,Dead Poets Society,http://www.filmweb.pl/Stowarzyszenie.Umarlych.Poetow,1989,78,227181
Co gryzie Gilberta Grape'a,What's Eating Gilbert Grape,http://www.filmweb.pl/Co.Gryzie.Gilberta.Grapea,1993,78,225292
Infiltracja,The Departed,http://www.filmweb.pl/Infiltracja,2006,80,222058
Uprowadzona,Taken,http://www.filmweb.pl/film/Uprowadzona-2008-401089,2008,77,221128
Więzień nienawiści,American History X,http://www.filmweb.pl/Wiezien.Nienawisci,1998,82,220809
Iron Man,,http://www.filmweb.pl/Iron.Man,2008,76,221070
Wojna światów,War of the Worlds,http://www.filmweb.pl/Wojna.Swiatow,2005,62,218889
1408,,http://www.filmweb.pl/1408,2007,68,217667
Kac Vegas w Bangkoku,The Hangover Part II,http://www.filmweb.pl/film/Kac+Vegas+w+Bangkoku-2011-519960,2011,70,216159
