Alone in the Dark: Wyspa cienia,Alone in the Dark,2005,34,8284
Człowiek z blizną,Scarface,1932,80,8267
Jęk czarnego węża,Black Snake Moan,2006,71,8273
Zaklinacz deszczu,The Rainmaker,1997,75,8261
Mamut,Mammoth,2009,71,8265
Niepokonany Seabiscuit,Seabiscuit,2003,75,8269
Miłość jak narkotyk,Addicted to Love,1997,67,8258
Tata duch,Ghost Dad,1990,63,8263
Chłopiec A,Boy A,2007,76,8242
Bulgarski pościkk,,2001,72,8239
Labirynt,Labyrinth,1986,71,8241
Honey 2,,2011,66,8233
Zwiąż mnie,¡Átame!,1990,73,8208
Anioł w Krakowie,,2002,65,8222
Nieznośna lekkość bytu,The Unbearable Lightness of Being,1988,73,8219
Doktor Żywago,Doctor Zhivago,2002,72,8205
Wysoka fala,Chasing Mavericks,2012,73,8178
Odwrócić przeznaczenie,The Air I Breathe,2007,69,8187
Autostopowicz,The Hitcher,2007,63,8185
Drzazgi,,2008,66,8084
Yves Saint Laurent,,2014,63,7807
Rzeka życia,A River Runs Through It,1992,72,8155
Droga życia,The Way,2010,74,8161
"Greystoke: Legenda Tarzana, władcy małp","Greystoke: The Legend of Tarzan, Lord of the Apes",1984,61,8139
Noc żywych trupów,Night of the Living Dead,1990,68,8158
W słusznej sprawie,Just Cause,1995,73,8148
Rio 2,,2014,67,7690
Spawn,,1997,57,8134
Miłość w Nowym Jorku,Autumn in New York,2000,66,8119
Broken,,2012,74,8123
Zbaw mnie ode złego,My Soul To Take,2010,50,8119
Ponad szczytem,Over the Top,1987,71,8085
Ran,,1985,81,8123
Disconnect,,2012,76,8076
Dziewczyna z fabryki,Factory Girl,2006,74,8111
Statyści,,2006,58,8108
Rozważni i romantyczni - Klub miłośników Jane Austen,The Jane Austen Book Club,2007,67,8110
Walentynki,Valentine,2001,56,8109
Sprawa honoru,The General's Daughter,1999,72,7968
Wpół do śmierci,Half Past Dead,2002,61,8093
Mąż idealny,Picture Perfect,1997,62,8090
Wygrany,,2011,63,8088
Wenecja,,2010,72,8085
Nieugięty Luke,Cool Hand Luke,1967,77,8079
Nieobliczalni,De l'autre côté du périph,2012,63,8067
Niebo nad Paryżem,Paris,2008,70,8077
"Hallo Szpicbródka, czyli ostatni występ Króla Kasiarzy",,1978,72,8053
Chwała dziwkom,Whores' Glory,2011,65,8054
Elf,,2003,56,8033
Niewidzialny,Stealth,2005,60,8025
Nadprzyrodzony pakt,The Pact,2012,57,8013
StreetDance 2 3D,,2012,63,8002
Wybraniec śmierci,Marked for Death,1990,67,8003
Ostatnia akcja,,2009,57,8002
Szukając sprawiedliwości,Out for Justice,1991,70,7987
Gry małżeńskie,"Love, Wedding, Marriage",2011,54,7995
Harakiri,Seppuku,1962,79,7990
Dorwać Cartera,Get Carter,2000,62,7983
"Uciec, ale dokąd?",Nowhere to Run,1993,66,7841
Do utraty tchu,À bout de souffle,1960,78,7975
Nocny jastrząb,Nighthawks,1981,65,7888
"Twoje, moje i nasze","Yours, Mine and Ours",2005,70,7972
West Side Story,,1961,72,7957
Obywatel,,2014,59,7409
Europa Report,,2013,62,7948
Głowa w chmurach,Head in the Clouds,2004,71,7952
Próba ogniowa,Fireproof,2008,74,7946
Heca w zoo,Zookeeper,2011,60,7947
Bitwa o Ziemię,Battlefield Earth: A Saga of the Year 3000,2000,42,7935
Imperium wilków,L'empire des loups,2005,67,7944
Wbrew regułom,The Cider House Rules,1999,74,7900
Pajęczyna Charlotty,Charlotte's Web,2006,65,7934
Cadillac Records,,2008,76,7928
Dzień szakala,The Day of the Jackal,1973,78,7928
Koszmar z ulicy Wiązów 5: Dziecko snów,A Nightmare on the Elm Street 5: The Dream Child,1989,65,7875
Kawa i papierosy,Coffee and Cigarettes,1986,78,7902
RoboCop 3,,1993,55,7919
"Lesbian Vampire Killers, czyli noc krwawej żądzy",Lesbian Vampire Killers,2009,51,7910
Ani słowa więcej,Enough Said,2013,65,7889
Tuż po weselu,Efter brylluppet,2006,76,7904
Spotkania na krańcach świata,Encounters at the End of the World,2007,80,7882
Ponyo,Gake no ue no Ponyo,2008,75,7868
Bad Ass: Twardziel,Bad Ass,2012,56,7904
Ostatni dzwonek,,1989,78,7894
Księżniczka i żołnierz,The Princess and the Marine,2001,72,7897
Soul Plane: Wysokie loty,Soul Plane,2004,64,7886
Inland Empire,,2006,62,7885
Uwolnić orkę 2,Free Willy 2: The Adventure Home,1995,61,7885
Enigma,,2001,54,7878
Magiczne lato,The Magic of Belle Isle,2012,72,7865
Lemur zwany Rollo,Fierce Creatures,1997,67,7868
Opowieści z Ziemiomorza,Gedo senki,2006,72,7845
Szepty i krzyki,Viskningar och rop,1972,79,7863
Agent Cody Banks,,2003,60,7864
"Ucieczka z kina ""Wolność""",,1990,76,7846
Kobieta w błękitnej wodzie,Lady in the Water,2006,58,7812
Mały Budda,Little Buddha,1993,71,7847
Szesnaście życzeń,16 Wishes,2010,57,7833
Człowiek orkiestra,L'Homme orchestre,1970,72,7839
Zupełnie inny weekend,Weekend,2011,71,7820
"Kobieta na Marsie, mężczyzna na Wenus",De l'autre côté du lit,2008,62,7797
Milion dolarów,,2010,49,7819
Piła mechaniczna 3D,Texas Chainsaw 3D,2013,48,7813
Czas zapłaty,Welcome to the Punch,2013,61,7784
Buena Vista Social Club,,1999,79,7793
Młody Frankenstein,Young Frankenstein,1974,76,7809
Honor Prizzich,Prizzi's Honor,1985,67,7752
Ciemna strona miasta,Bringing Out the Dead,1999,73,7796
Władca Pierścieni,The Lord of the Rings,1978,63,7753
Ostatnie wakacje,Last Holiday,2006,70,7806
Niewierni,Les Infidèles,2012,42,7802
Zjawy,The Apparition,2012,48,7800
Modlitwy za Bobby'ego,Prayers for Bobby,2009,77,7781
Oddział,The Ward,2010,55,7762
Straż przyboczna,Yôjinbô,1961,81,7769
Bez przedawnienia,High Crimes,2002,70,7768
Przypadkowa dziewczyna,Sliding Doors,1998,67,7723
Martwa cisza,Dead Calm,1989,67,7753
Co w trawce piszczy?,Leaves of Grass,2009,63,7747
Simone,S1m0ne,2002,64,7743
Delikatna,Frágiles,2005,65,7738
Południe-Północ,,2006,74,7747
'Allo 'Allo! - wspomnienia,The Best of 'Allo 'Allo!,1994,73,7741
Jestem miłością,Io sono l'amore,2009,68,7710
Miłość z przedszkola,Keinohrhasen,2007,69,7707
Wyatt Earp,,1994,72,7703
Wskakuj!,Jump In!,2007,63,7694
Festen,,1998,78,7662
Cztery noce z Anną,,2008,67,7679
Wielki rok,The Big Year,2011,59,7675
Test,Exam,2009,68,7667
Dźwięki muzyki,The Sound of Music,1965,79,7667
Zakochany Anioł,,2005,64,7670
Wygrać miłość,Just Wright,2010,67,7666
Druga twarz,The Double,2011,64,7681
O dziewczynie skaczącej przez czas,Toki wo kakeru shôjo,2006,79,7661
Gorączka złota,The Gold Rush,1925,79,7658
Fabryka zła,Napola - Elite für den Führer,2004,76,7623
Gwiezdne wrota: Continuum,Stargate: Continuum,2008,71,7664
2 dni w Nowym Jorku,2 Days in New York,2012,56,7660
Dzikie żądze,Wild Things,1998,68,7652
Appleseed,Appurushîdo,2004,72,7654
Mistyfikacja,,2010,61,7650
Pan Zemsta,Boksuneun naui geot,2002,73,7640
Zęby,Teeth,2007,38,7634
Wymarzony luzer,Geek Charming,2011,62,7627
Rozdział 27,Chapter 27,2007,64,7633
Nieodebrane połączenie,Chakushin ari,2003,66,7628
Zagubieni w kosmosie,Lost in Space,1998,56,7620
Liceum Avalon,Avalon High,2010,58,7598
Papusza,,2013,73,7537
Nowe życie,The Lazarus Project,2008,68,7605
Tora! Tora! Tora!,,1970,74,7565
Na zabójczej ziemi,On Deadly Ground,1994,60,7593
Tragedia na przełęczy Diatłowa,The Dyatlov Pass Incident,2013,56,7569
Dziewczyny z drużyny 2,Bring It On Again,2004,60,7585
Ramona i Beezus,Ramona and Beezus,2010,68,7547
Miss Potter,,2006,69,7560
"Ja, twardziel",The Man,2005,67,7555
Superman II,,1980,64,7553
Strażnik,The Sentinel,2006,63,7551
42 – Prawdziwa historia amerykańskiej legendy,42,2013,74,7528
Karate Kid III,"The Karate Kid, Part III",1989,60,7472
Zły dotyk,Mysterious Skin,2004,74,7533
Asterix podbija Amerykę,Asterix in Amerika,1994,71,7524
Puls,Pulse,2006,58,7534
Co jest grane?,What Just Happened,2008,51,7527
Samotne serca,Lonely Hearts,2006,69,7526
Płonące siodła,Blazing Saddles,1974,73,7511
Presto,,2008,78,7507
Wesołych Świąt,Deck the Halls,2006,59,7496
Maska,Mask,1985,75,7495
Następny piątek,Next Friday,2000,68,7480
Paranoid Park,,2007,64,7489
Ludzie Boga,Des hommes et des dieux,2010,69,7462
Lilo i Stich 2: Mały feler Sticha,Lilo & Stitch 2: Stitch Has a Glitch,2005,69,7458
Słomiany wdowiec,The Seven Year Itch,1955,73,7476
The Collector,,2009,64,7478
Powrót laleczki Chucky,Child's Play 2,1990,63,7479
Huśtawka,,2010,63,7483
Drillbit Taylor: Ochroniarz amator,Drillbit Taylor,2008,60,7474
Rachel wychodzi za mąż,Rachel Getting Married,2008,64,7467
Guru miłości,The Love Guru,2008,48,7463
Droga bez powrotu 5: Krwawe granice,Wrong Turn 5: Bloodlines,2012,40,7449
Zmowa pierwszych żon,The First Wives Club,1996,70,7455
Galerianki,,2006,56,7459
Barwy ochronne,,1976,79,7433
Od sklepowej do królowej,Picture This,2008,61,7446
Twarda laska,Saving Silverman,2001,58,7450
Hudsucker Proxy,The Hudsucker Proxy,1994,73,7440
Dealer,Pusher,1996,75,7426
Idź i patrz,Idi i smotri,1985,82,7415
Kinematograf,,2009,76,7411
Teoria wszystkiego,The Zero Theorem,2013,60,7357
Siekierezada,,1985,78,7411
